titles,years,assessment
Planet Earth II,(2016),9.4
Breaking Bad,(2008),9.4
Planet Earth,(2006),9.4
Band of Brothers,(2001),9.4
Chernobyl,(2019),9.4
The Wire,(2002),9.4
Avatar: The Last Airbender,(2005),9.4
Blue Planet II,(2017),9.4
The Sopranos,(1999),9.4
Cosmos: A Spacetime Odyssey,(2014),9.4
Cosmos,(1980),9.4
Our Planet,(2019),9.4
Game of Thrones,(2011),9.4
The World at War,(1973),9.4
Rick and Morty,(2013),9.4
Fullmetal Alchemist: Brotherhood,(2009),9.4
The Last Dance,(2020),9.4
Life,(2009),9.4
The Twilight Zone,(1959),9.4
Sherlock,(2010),9.4
The Vietnam War,(2017),9.4
Bluey,(2018),9.4
Batman: The Animated Series,(1992),9.4
Scam 1992: The Harshad Mehta Story,(2020),9.4
Attack on Titan,(2013),9.4
Arcane,(2021),9.4
The Blue Planet,(2001),9.4
The Office,(2005),9.4
Human Planet,(2011),9.4
Firefly,(2002),9.4
Frozen Planet,(2011),9.4
Death Note,(2006),9.4
Better Call Saul,(2015),9.4
Clarkson's Farm,(2021),9.4
Only Fools and Horses,(1981),9.4
The Civil War,(1990),9.4
Hunter x Hunter,(2011),9.4
True Detective,(2014),9.4
Seinfeld,(1989),9.4
Dekalog,(1989),9.4
Persona,(2018),9.4
The Beatles: Get Back,(2021),9.4
Fargo,(2014),9.4
Cowboy Bebop,(1998),9.4
Nathan for You,(2013),9.4
Gravity Falls,(2012),9.4
When They See Us,(2019),9.4
Last Week Tonight with John Oliver,(2014),9.4
Friends,(1994),9.4
Apocalypse: The Second World War,(2009),9.4
Africa,(2013),9.4
TVF Pitchers,(2015),9.4
It's Always Sunny in Philadelphia,(2005),9.4
The Last of Us,(2023),9.4
Monty Python's Flying Circus,(1969),9.4
Taskmaster,(2015),9.4
Das Boot,(1985),9.4
As If,(2021),9.4
The West Wing,(1999),9.4
Curb Your Enthusiasm,(2000),9.4
Leyla and Mecnun,(2011),9.4
Fawlty Towers,(1975),9.4
Pride and Prejudice,(1995),9.4
Succession,(2018),9.4
Freaks and Geeks,(1999),9.4
Blackadder Goes Forth,(1989),9.4
Twin Peaks,(1990),9.4
BoJack Horseman,(2014),9.4
Black Mirror,(2011),9.4
Narcos,(2015),9.4
Dragon Ball Z,(1989),9.4
Chappelle's Show,(2003),9.4
One Piece,(1999),9.4
Dragon Ball Z,(1989),9.4
"I, Claudius",(1976),9.4
South Park,(1997),9.4
Over the Garden Wall,(2014),9.4
Rome,(2005),9.4
Six Feet Under,(2001),9.4
Kota Factory,(2019),9.4
Ted Lasso,(2020),9.4
Peaky Blinders,(2013),9.4
Oz,(1997),9.4
Dark,(2017),9.4
Steins;Gate,(2011),9.4
The Boys,(2019),9.4
Arrested Development,(2003),9.4
Fleabag,(2016),9.4
The Mandalorian,(2019),9.4
The Simpsons,(1989),9.4
Gullak,(2019),9.4
One Punch Man,(2015),9.4
The Shield,(2002),9.4
Battlestar Galactica,(2004),9.4
House,(2004),9.4
Panchayat,(2020),9.4
Downton Abbey,(2010),9.4
Vinland Saga,(2019),9.4
Stranger Things,(2016),9.4
Invincible,(2021),9.4
Severance,(2022),9.4
Mad Men,(2007),9.4
Peep Show,(2003),9.4
Sarabhai V/S Sarabhai,(2004),9.4
Star Trek: The Next Generation,(1987),9.4
The Adventures of Sherlock Holmes,(1984),9.4
The Marvelous Mrs. Maisel,(2017),9.4
Berserk,(1997),9.4
Friday Night Lights,(2006),9.4
The Grand Tour,(2016),9.4
House of Cards,(2013),9.4
Top Gear,(2002),9.4
Justice League Unlimited,(2004),9.4
1883,(2021),9.4
The Thick of It,(2005),9.4
Line of Duty,(2012),9.4
The Crown,(2016),9.4
Mahabharat,(1988),9.4
Aspirants,(2021),9.4
Behzat Ç.: Bir Ankara Polisiyesi,(2010),9.4
Father Ted,(1995),9.4
Deadwood,(2004),9.4
Parks and Recreation,(2009),9.4
This Is Us,(2016),9.4
The X-Files,(1993),9.4
Dexter,(2006),9.4
Atlanta,(2016),9.4
Naruto: Shippuden,(2007),9.4
The Jinx: The Life and Deaths of Robert Durst,(2015),9.4
Bleach: Thousand-Year Blood War,(2022),9.4
Primal,(2019),9.4
Code Geass,(2006),9.4
Critical Role,(2015),9.4
Blackadder II,(1986),9.4
The Bridge,(2011),9.4
Daredevil,(2015),9.4
It's a Sin,(2021),9.4
Monster,(2004),9.4
Ramayan,(1987),9.4
Lonesome Dove,(1989),9.4
Adventure Time,(2010),9.4
Demon Slayer: Kimetsu no Yaiba,(2019),9.4
Archer,(2009),9.4
Yeh Meri Family,(2018),9.4
Mindhunter,(2017),9.4
Mystery Science Theater 3000,(1988),9.4
Gomorrah,(2014),9.4
The Return of Sherlock Holmes,(1986),9.4
Yellowstone,(2018),9.4
Blackadder the Third,(1987),9.4
Young Justice,(2010),9.4
The Offer,(2022),9.4
Heartstopper,(2022),9.4
Haikyu!!,(2014),9.4
Anne with an E,(2017),9.4
Mr. Bean,(1990),9.4
Dopesick,(2021),9.4
QI,(2003),9.4
Poirot,(1989),9.4
Yes Minister,(1980),9.4
Justified,(2010),9.4
Pose,(2018),9.4
Boardwalk Empire,(2010),9.4
Making a Murderer,(2015),9.4
The Newsroom,(2012),9.4
Crash Landing on You,(2019),9.4
The Bugs Bunny Show,(1960),9.4
The Haunting of Hill House,(2018),9.4
The Eric Andre Show,(2012),9.4
The Queen's Gambit,(2020),9.4
Justice League,(2001),9.4
Homicide: Life on the Street,(1993),9.4
Flight of the Conchords,(2007),9.4
Dragon Ball,(1986),9.4
Dragon Ball,(1995),9.4
El Chavo del Ocho,(1972),9.4
Battlestar Galactica,(2003),9.4
The Venture Bros.,(2003),9.4
Coupling,(2000),9.4
Impractical Jokers,(2011),9.4
The Bureau,(2015),9.4
Spaced,(1999),9.4
Black Sun,(2017),9.4
Formula 1: Drive to Survive,(2019),9.4
What We Do in the Shadows,(2019),9.4
Long Way Round,(2004),9.4
"Yes, Prime Minister",(1986),9.4
Samurai Champloo,(2004),9.4
The IT Crowd,(2006),9.4
The Family Man,(2019),9.4
Mr. Robot,(2015),9.4
I'm Alan Partridge,(1997),9.4
Louie,(2010),9.4
The Rehearsal,(2022),9.4
The Office,(2001),9.4
Whose Line Is It Anyway?,(1998),9.4
Through the Wormhole,(2010),9.4
Letterkenny,(2016),9.4
Samurai Jack,(2001),9.4
Ezel,(2009),9.4
Shameless,(2011),9.4
Mob Psycho 100,(2016),9.4
Spartacus,(2010),9.4
Endeavour,(2012),9.4
Detectorists,(2014),9.4
Sons of Anarchy,(2008),9.4
Extraordinary Attorney Woo,(2022),9.4
Neon Genesis Evangelion,(1995),9.4
Brass Eye,(1997),9.4
Trailer Park Boys,(2001),9.4
Westworld,(2016),9.4
North & South,(2004),9.4
Skam,(2015),9.4
Doctor Who,(2005),9.4
Twin Peaks,(2017),9.4
Fullmetal Alchemist,(2003),9.4
Mr Inbetween,(2018),9.4
Spartacus: Gods of the Arena,(2011),9.4
Silicon Valley,(2014),9.4
Futurama,(1999),9.4
From the Earth to the Moon,(1998),9.4
Rurouni Kenshin: Trust and Betrayal,(1999),9.4
Happy Valley,(2014),9.4
Rocket Boys,(2022),9.4
Schitt's Creek,(2015),9.4
Hannibal,(2013),9.4
Umbre,(2014),9.4
The Expanse,(2015),9.4
Regular Show,(2009),9.4
Community,(2009),9.4
Jujutsu Kaisen,(2020),9.4
Cobra Kai,(2018),9.4
Chef's Table,(2015),9.4
My Brilliant Friend,(2018),9.4
Generation Kill,(2008),9.4
Wentworth,(2013),9.4
Derry Girls,(2018),9.4
The Angry Video Game Nerd,(2004),9.4
The Night Of,(2016),9.4
